Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
SUZUKI,Wagon R FX Safety Import,2024,660.0,Automatic,Petrol,3000.0,Homagama,2026-03-22,Leasing Available,RECONDITIONED,Available,Available,Available,Available,69.5
MG,ZS,2018,1000.0,Automatic,Petrol,84500.0,Bandaragama,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,83.0
NISSAN,AD Wagon,1996,1970.0,Automatic,Diesel,302.0,Moratuwa,2026-03-22,Leasing Available,USED,Available,Available,Not_Available,Not_Available,22.5
TOYOTA,Prius,2011,1800.0,Automatic,Hybrid,169000.0,Minuwangoda,2026-03-22,Leasing Available,BRAND NEW,Available,Available,Available,Available,92.5
TOYOTA,Axio WXB,2017,1500.0,Automatic,Hybrid,101000.0,Katunayake,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,1.0
TOYOTA,Hilux Thailand Auto,2007,3000.0,Automatic,Diesel,180000.0,Kaduwela,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,1.8
TOYOTA,Prius,2013,1800.0,Automatic,Hybrid,151000.0,Beruwala,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,111.8
JAC,10.5 Full Body,2008,3670.0,Manual,Diesel,24152.0,Kurunegala,2026-03-22,Leasing Available,BRAND NEW,Not_Available,Available,Not_Available,Not_Available,25.5
MICRO,Panda,2015,1000.0,Manual,Petrol,33000.0,Piliyandala,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,31.9
TOYOTA,Corolla 141 GLI,2013,1500.0,Automatic,Petrol,62000.0,Kottawa,2026-03-22,Leasing Available,BRAND NEW,Available,Available,Available,Available,0.6
NISSAN,March,1995,1000.0,Manual,Petrol,123456.0,Katunayake,2026-03-22,Leasing Available,USED,Available,Available,Not_Available,Not_Available,17.2
CHEVROLET,Cruze GM Limited,2006,1300.0,Automatic,Petrol,170000.0,Kurunegala,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,38.2
SUZUKI,Alto,2015,800.0,Manual,Petrol,156000.0,Horana,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,35.5
SUZUKI,A-Star,2010,1000.0,Automatic,Petrol,107000.0,Battaramulla,2026-03-22,Leasing Available,BRAND NEW,Available,Available,Not_Available,Not_Available,39.9
TOYOTA,Cressida RX72,1987,2400.0,Manual,Petrol,2131.0,Panadura,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,16.9
SUZUKI,Wagon R Stingray,2014,650.0,Automatic,Hybrid,142000.0,Kandy,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,55.8
TATA,Nexon,2020,1200.0,Automatic,Petrol,26000.0,Moratuwa,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,0.3
TOYOTA,Hilux 1kd,2009,3000.0,Automatic,Diesel,187000.0,Kurunegala,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,110.0
TOYOTA,Lh61,1986,2400.0,Manual,Diesel,519823.0,Kegalle,2026-03-22,Leasing Available,USED,Available,Available,Not_Available,Not_Available,45.5
TOYOTA,Premio,2018,1500.0,Automatic,Petrol,40000.0,Kandy,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,165.0
HONDA,Fit GP1 Anniversary,2015,1330.0,Automatic,Hybrid,116000.0,Kurunegala,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,67.2
TOYOTA,Prius,2012,1800.0,Automatic,Hybrid,136000.0,Ragama,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,97.0
TOYOTA,Vitz,2018,1000.0,Automatic,Petrol,100000.0,Colombo,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,73.9
TOYOTA,PASSO,2008,1000.0,Automatic,Petrol,148000.0,Gampaha,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,47.8
MICRO,Panda,2016,1300.0,Manual,Petrol,93000.0,Panadura,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,32.0
SUZUKI,Hustler J Style,2016,650.0,Automatic,Petrol,81000.0,Gampaha,2026-03-22,Leasing Available,USED,Available,Available,Available,Available,68.8
NISSAN,Wingroad,2007,2000.0,Automatic,Diesel,187456.0,Gampaha,2026-03-22,Leasing Available,USED,Not_Available,Not_Available,Available,Not_Available,20.9
