Title,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,ScrapeDate,SourceURL
BYD Atto 3 Superior 2025 SUV,Unknown,Unknown,2025,,,,,,2025-11-24,No,,No,No,No,No,17300000,2025-11-24,https://riyasewana.com/buy/byd-atto-3-sale-kiribathgoda-10810453
Toyota Yaris X 2024 2024 Car,Toyota,Yaris,2024,,,,,,2025-11-24,No,,No,No,No,No,9900000,2025-11-24,https://riyasewana.com/buy/toyota-yaris-x-sale-wattala-10810450
TVS Wego 2020 Motorbike,Unknown,Unknown,2020,,,,,,2025-11-24,No,,No,No,No,No,560000,2025-11-24,https://riyasewana.com/buy/tvs-wego-sale-gampaha-10810449
Suzuki Spacia 2024 Car,Suzuki,Spacia,2024,,,,,,2025-11-24,No,,No,No,No,No,8725000,2025-11-24,https://riyasewana.com/buy/suzuki-spacia-sale-kadawatha-10810444
Suzuki Wagon R FX Safety 2023 Car,Suzuki,Wagon,2023,,,,,,2025-11-24,No,,No,No,No,No,7375000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-kadawatha-10810440
Daihatsu Mira 2023 Car,Daihatsu,Mira,2023,,,,,,2025-11-24,No,,No,No,No,No,6250000,2025-11-24,https://riyasewana.com/buy/daihatsu-mira-sale-veyangoda-10810423
Mitsubishi Delica L 300 1982 Van,Mitsubishi,Delica,2025,,,,,,2025-11-24,No,,No,No,No,No,1525000,2025-11-24,https://riyasewana.com/buy/mitsubishi-delica-l-sale-gampaha-10810422
Ford Ford 3600 1978 Tractor,Ford,Ford,2025,,,,,,2025-11-24,No,,No,No,No,No,675000,2025-11-24,https://riyasewana.com/buy/ford-ford-3600-sale-dankotuwa-10810418
Suzuki CARRY TRUCK SAFETY LED 2023 Car,Suzuki,CARRY,2023,,,,,Dehiwala,2025-11-24,No,,No,No,No,No,5250000,2025-11-24,https://riyasewana.com/buy/suzuki-carry-truck-sale-dehiwala-mount-lavinia-10810299
Daihatsu Taft 2023 Car,Daihatsu,Taft,2023,,,,,,2025-11-24,No,,No,No,No,No,7850000,2025-11-24,https://riyasewana.com/buy/daihatsu-taft-sale-veyangoda-10810285
Suzuki Wagon R FX 2024 Car,Suzuki,Wagon,2024,,,,,,2025-11-24,No,,No,No,No,No,7250000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-veyangoda-10810274
Suzuki Wagon R FX 2023 Car,Suzuki,Wagon,2023,,,,,,2025-11-24,No,,No,No,No,No,7150000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-veyangoda-10810239
Suzuki Wagon R Fx Safety 2025 Car,Suzuki,Wagon,2025,,,,,,2025-11-24,No,,No,No,No,No,7900000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-10810214
Toyota YARIS CROSS HYBRID Z ADVENTURE 2023 Car,Toyota,YARIS,2023,,,Hybrid,,,2025-11-24,No,,No,No,No,No,15975000,2025-11-24,https://riyasewana.com/buy/toyota-yaris-cross-sale-malabe-10810212
Toyota Passo 2023 Car,Toyota,Passo,2023,,,,,,2025-11-24,No,,No,No,No,No,7600000,2025-11-24,https://riyasewana.com/buy/toyota-passo-sale-wennappuwa-10810207
